"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT08","WT09","WT11"
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-02",,"0.16",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-03",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-04",,"0.08",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-05",,"0.24",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-06",,"0.21",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-07",,"0.43",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-08",,"0.55",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-09",,"0.04",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-10",,"0.09",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-11",,"0.19",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-12",,"0.46",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-13",,"0.18",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-14",,"0.68",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-15",,"1.65",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-16",,"0.10",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-17",,"0.11",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-18",,"0.02",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-19",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-20",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-21",,"0.05",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-22",,"0.10",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-23",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-24",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-25",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-26",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-27",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-28",,"0.32",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-29",,"0.27",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-04-30",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-01",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-02",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-03",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-04",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-05",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-06",,"0.03",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-07",,"0.00","0.0",,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-08",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-09",,"0.05",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-10",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-11",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-12",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-13",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-14",,"0.00",,,,,,,,,,,,
"US1WAKG0225","SEATTLE 2.1 ESE, WA US","2018-05-15",,"0.00",,,,,,,,,,,,
