"STATION","NAME","DATE","AWND","PRCP","SNOW","TAVG","TMAX","TMIN","WT01","WT02","WT03","WT04","WT05","WT06","WT08","WT09","WT11"
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-20",,"0.05",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-21",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-22",,"0.10",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-23",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-24",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-25",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-26",,"1.35",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-28",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-09-30",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-01",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-02",,"0.37",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-03",,"0.77",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-04",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-09",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-10",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-11",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-12",,"1.20",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-15",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-21",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-22",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-25",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-29",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-30",,"0.21",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-10-31",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-01",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-02",,"0.20",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-04",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-06",,"0.43",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-07",,"1.10",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-10",,,,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-12",,"0.00",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-13",,"0.55",,,,,,,,,,,,,
"US1MANF0036","WEYMOUTH 2.8 NW, MA US","2018-11-14",,"0.63",,,,,,,,,,,,,
